trade_id,code,day,kind,status,source,rows,path,error
T001,601168,2025-10-13,buy,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T001_601168_2025-10-13_buy.csv,
T001,601168,2025-10-14,sell,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T001_601168_2025-10-14_sell.csv,
T002,600363,2025-10-15,buy,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T002_600363_2025-10-15_buy.csv,
T002,600363,2025-10-15,sell,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T002_600363_2025-10-15_sell.csv,
T003,2171,2025-10-16,buy,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T003_002171_2025-10-16_buy.csv,
T003,2171,2025-10-17,sell,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T003_002171_2025-10-17_sell.csv,
T004,2185,2025-10-21,buy,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T004_002185_2025-10-21_buy.csv,
T004,2185,2025-10-23,sell,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T004_002185_2025-10-23_sell.csv,
T005,917,2025-10-22,buy,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T005_000917_2025-10-22_buy.csv,
T005,917,2025-10-27,sell,cached,local,-1,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T005_000917_2025-10-27_sell.csv,
T006,2831,2025-10-23,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T006_002831_2025-10-23_buy.csv,
T006,2831,2025-11-07,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T006_002831_2025-11-07_sell.csv,
T007,601068,2025-10-24,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T007_601068_2025-10-24_buy.csv,
T007,601068,2025-10-28,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T007_601068_2025-10-28_sell.csv,
T008,27,2025-10-27,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T008_000027_2025-10-27_buy.csv,
T008,27,2025-11-18,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T008_000027_2025-11-18_sell.csv,
T009,2497,2025-10-28,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T009_002497_2025-10-28_buy.csv,
T009,2497,2025-10-30,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T009_002497_2025-10-30_sell.csv,
T010,600438,2025-10-31,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T010_600438_2025-10-31_buy.csv,
T010,600438,2025-11-07,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T010_600438_2025-11-07_sell.csv,
T011,600773,2025-11-03,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T011_600773_2025-11-03_buy.csv,
T011,600773,2025-11-04,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T011_600773_2025-11-04_sell.csv,
T012,2653,2025-11-04,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T012_002653_2025-11-04_buy.csv,
T012,2653,2025-11-19,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T012_002653_2025-11-19_sell.csv,
T013,601512,2025-11-05,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T013_601512_2025-11-05_buy.csv,
T013,601512,2025-11-12,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T013_601512_2025-11-12_sell.csv,
T014,686,2025-11-12,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T014_000686_2025-11-12_buy.csv,
T014,686,2025-11-19,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T014_000686_2025-11-19_sell.csv,
T015,2153,2025-11-17,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T015_002153_2025-11-17_buy.csv,
T015,2153,2025-11-18,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T015_002153_2025-11-18_sell.csv,
T016,601890,2025-11-21,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T016_601890_2025-11-21_buy.csv,
T016,601890,2025-11-24,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T016_601890_2025-11-24_sell.csv,
T017,600764,2025-11-26,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T017_600764_2025-11-26_buy.csv,
T017,600764,2025-11-27,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T017_600764_2025-11-27_sell.csv,
T018,600033,2025-11-27,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T018_600033_2025-11-27_buy.csv,
T018,600033,2025-12-02,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T018_600033_2025-12-02_sell.csv,
T019,600835,2025-11-28,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T019_600835_2025-11-28_buy.csv,
T019,600835,2025-12-03,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T019_600835_2025-12-03_sell.csv,
T020,603712,2025-12-01,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T020_603712_2025-12-01_buy.csv,
T020,603712,2025-12-16,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T020_603712_2025-12-16_sell.csv,
T021,63,2025-12-03,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T021_000063_2025-12-03_buy.csv,
T021,63,2025-12-05,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T021_000063_2025-12-05_sell.csv,
T022,600707,2025-12-05,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T022_600707_2025-12-05_buy.csv,
T022,600707,2025-12-08,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T022_600707_2025-12-08_sell.csv,
T023,2402,2025-12-08,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T023_002402_2025-12-08_buy.csv,
T023,2402,2025-12-09,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T023_002402_2025-12-09_sell.csv,
T024,603698,2025-12-10,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T024_603698_2025-12-10_buy.csv,
T024,603698,2025-12-12,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T024_603698_2025-12-12_sell.csv,
T025,600184,2025-12-12,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T025_600184_2025-12-12_buy.csv,
T025,600184,2025-12-16,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T025_600184_2025-12-16_sell.csv,
T026,600875,2025-12-16,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T026_600875_2025-12-16_buy.csv,
T026,600875,2025-12-23,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T026_600875_2025-12-23_sell.csv,
T027,825,2025-12-17,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T027_000825_2025-12-17_buy.csv,
T027,825,2025-12-22,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T027_000825_2025-12-22_sell.csv,
T028,600198,2025-12-18,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T028_600198_2025-12-18_buy.csv,
T028,600198,2025-12-19,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T028_600198_2025-12-19_sell.csv,
T029,600501,2025-12-19,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T029_600501_2025-12-19_buy.csv,
T029,600501,2025-12-23,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T029_600501_2025-12-23_sell.csv,
T030,2151,2025-12-24,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T030_002151_2025-12-24_buy.csv,
T030,2151,2025-12-25,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T030_002151_2025-12-25_sell.csv,
T031,2378,2025-12-25,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T031_002378_2025-12-25_buy.csv,
T031,2378,2026-01-07,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T031_002378_2026-01-07_sell.csv,
T032,2429,2025-12-26,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T032_002429_2025-12-26_buy.csv,
T032,2429,2025-12-27,sell,ok,baostock_5m,0,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T032_002429_2025-12-27_sell.csv,
T033,2583,2025-12-29,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T033_002583_2025-12-29_buy.csv,
T033,2583,2026-01-12,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T033_002583_2026-01-12_sell.csv,
T034,600362,2025-12-30,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T034_600362_2025-12-30_buy.csv,
T034,600362,2025-12-31,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T034_600362_2025-12-31_sell.csv,
T035,603009,2026-01-05,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T035_603009_2026-01-05_buy.csv,
T035,603009,2026-01-13,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T035_603009_2026-01-13_sell.csv,
T036,600363,2026-01-06,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T036_600363_2026-01-06_buy.csv,
T036,600363,2026-01-07,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T036_600363_2026-01-07_sell.csv,
T037,601512,2026-01-07,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T037_601512_2026-01-07_buy.csv,
T037,601512,2026-01-12,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T037_601512_2026-01-12_sell.csv,
T038,2945,2026-01-08,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T038_002945_2026-01-08_buy.csv,
T038,2945,2026-01-13,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T038_002945_2026-01-13_sell.csv,
T039,2366,2026-01-12,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T039_002366_2026-01-12_buy.csv,
T039,2366,2026-01-16,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T039_002366_2026-01-16_sell.csv,
T040,600549,2026-01-13,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T040_600549_2026-01-13_buy.csv,
T040,600549,2026-01-14,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T040_600549_2026-01-14_sell.csv,
T041,601858,2026-01-14,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T041_601858_2026-01-14_buy.csv,
T041,601858,2026-01-15,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T041_601858_2026-01-15_sell.csv,
T042,600089,2026-01-15,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T042_600089_2026-01-15_buy.csv,
T042,600089,2026-01-16,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T042_600089_2026-01-16_sell.csv,
T043,2004,2026-01-16,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T043_002004_2026-01-16_buy.csv,
T043,2004,2026-01-20,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T043_002004_2026-01-20_sell.csv,
T044,2049,2026-01-19,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T044_002049_2026-01-19_buy.csv,
T044,2049,2026-02-02,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T044_002049_2026-02-02_sell.csv,
T045,2426,2026-01-21,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T045_002426_2026-01-21_buy.csv,
T045,2426,2026-01-22,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T045_002426_2026-01-22_sell.csv,
T046,601117,2026-01-22,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T046_601117_2026-01-22_buy.csv,
T046,601117,2026-01-23,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T046_601117_2026-01-23_sell.csv,
T047,2185,2026-01-23,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T047_002185_2026-01-23_buy.csv,
T047,2185,2026-01-27,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T047_002185_2026-01-27_sell.csv,
T048,601012,2026-01-27,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T048_601012_2026-01-27_buy.csv,
T049,600602,2026-01-29,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T049_600602_2026-01-29_buy.csv,
T049,600602,2026-01-30,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T049_600602_2026-01-30_sell.csv,
T050,600961,2026-01-30,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T050_600961_2026-01-30_buy.csv,
T050,600961,2026-02-02,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T050_600961_2026-02-02_sell.csv,
T051,600339,2026-02-02,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T051_600339_2026-02-02_buy.csv,
T051,600339,2026-02-04,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T051_600339_2026-02-04_sell.csv,
T052,601699,2026-02-06,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T052_601699_2026-02-06_buy.csv,
T052,601699,2026-02-10,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T052_601699_2026-02-10_sell.csv,
T053,600185,2026-02-11,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T053_600185_2026-02-11_buy.csv,
T053,600185,2026-02-12,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T053_600185_2026-02-12_sell.csv,
T054,2292,2026-02-12,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T054_002292_2026-02-12_buy.csv,
T054,2292,2026-02-13,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T054_002292_2026-02-13_sell.csv,
T055,600583,2026-02-13,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T055_600583_2026-02-13_buy.csv,
T055,600583,2026-02-24,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T055_600583_2026-02-24_sell.csv,
T056,601808,2026-02-26,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T056_601808_2026-02-26_buy.csv,
T056,601808,2026-03-02,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T056_601808_2026-03-02_sell.csv,
T057,661,2026-02-27,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T057_000661_2026-02-27_buy.csv,
T057,661,2026-03-03,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T057_000661_2026-03-03_sell.csv,
T058,2463,2026-03-02,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T058_002463_2026-03-02_buy.csv,
T058,2463,2026-03-03,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T058_002463_2026-03-03_sell.csv,
T059,2167,2026-03-03,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T059_002167_2026-03-03_buy.csv,
T059,2167,2026-03-05,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T059_002167_2026-03-05_sell.csv,
T060,3009,2026-03-04,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T060_003009_2026-03-04_buy.csv,
T060,3009,2026-03-05,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T060_003009_2026-03-05_sell.csv,
T061,600803,2026-03-05,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T061_600803_2026-03-05_buy.csv,
T061,600803,2026-03-09,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T061_600803_2026-03-09_sell.csv,
T062,605196,2026-03-06,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T062_605196_2026-03-06_buy.csv,
T062,605196,2026-03-12,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T062_605196_2026-03-12_sell.csv,
T063,2456,2026-03-09,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T063_002456_2026-03-09_buy.csv,
T063,2456,2026-03-12,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T063_002456_2026-03-12_sell.csv,
T064,2648,2026-03-10,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T064_002648_2026-03-10_buy.csv,
T064,2648,2026-03-11,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T064_002648_2026-03-11_sell.csv,
T065,601969,2026-03-11,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T065_601969_2026-03-11_buy.csv,
T065,601969,2026-03-12,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T065_601969_2026-03-12_sell.csv,
T066,2831,2026-03-13,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T066_002831_2026-03-13_buy.csv,
T066,2831,2026-03-16,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T066_002831_2026-03-16_sell.csv,
T067,601991,2026-03-16,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T067_601991_2026-03-16_buy.csv,
T067,601991,2026-03-17,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T067_601991_2026-03-17_sell.csv,
T068,601669,2026-03-17,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T068_601669_2026-03-17_buy.csv,
T068,601669,2026-03-20,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T068_601669_2026-03-20_sell.csv,
T069,600996,2026-03-23,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T069_600996_2026-03-23_buy.csv,
T070,2896,2026-03-25,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T070_002896_2026-03-25_buy.csv,
T070,2896,2026-03-26,sell,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T070_002896_2026-03-26_sell.csv,
T071,2222,2026-03-26,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T071_002222_2026-03-26_buy.csv,
T072,002475,2026-03-27,buy,ok,baostock_5m,48,C:\Users\mengx\Desktop\量化策略\策略源码\data\4hao_focused\minute\T072_002475_2026-03-27_buy.csv,
